graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,feat_feature_04,X,Y,Z
0,0,0,True,False,False,0.0,0.0,1.0,0.0,0.0,29.399999,79.799999,35.475
0,1,0,True,False,False,0.0,0.0,1.0,0.0,0.0,21.0,37.799999,46.425002
0,2,0,True,False,False,0.0,0.0,1.0,0.0,0.0,46.200001,37.799999,134.025001
0,3,0,True,False,False,0.0,0.0,1.0,0.0,0.0,29.399999,79.799999,15.874999
0,4,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.599999,79.799999,9.525
0,5,0,True,False,False,0.0,0.0,1.0,0.0,0.0,46.200001,29.4,90.224998
0,6,0,True,False,False,0.0,0.0,1.0,0.0,0.0,21.0,29.399999,24.524999
0,7,0,True,False,False,0.0,0.0,1.0,0.0,0.0,21.0,37.799999,90.224998
0,8,0,True,False,False,0.0,0.0,1.0,0.0,0.0,29.399999,29.4,24.524999
0,9,0,True,False,False,0.0,0.0,1.0,0.0,0.0,46.200001,46.200001,144.974998
0,10,0,True,False,False,0.0,0.0,1.0,0.0,0.0,54.600001,71.399997,24.524999
0,11,0,True,False,False,1.0,0.0,0.0,0.0,0.0,4.2,21.0,9.525
0,12,0,True,False,False,0.0,0.0,1.0,0.0,0.0,4.2,62.999998,24.525
0,13,0,True,False,False,0.0,1.0,0.0,0.0,0.0,16.8,25.550001,15.874999
0,14,0,True,False,False,0.0,0.0,1.0,0.0,0.0,37.799999,79.799999,15.875
0,15,0,True,False,False,0.0,0.0,1.0,0.0,0.0,29.4,37.799999,90.224998
0,16,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.599999,37.799999,9.525
0,17,0,True,False,False,1.0,0.0,0.0,0.0,0.0,46.200001,113.399997,9.525
0,18,0,True,False,False,0.0,0.0,1.0,0.0,0.0,12.599999,37.799999,90.224998
0,19,0,True,False,False,0.0,1.0,0.0,0.0,0.0,50.050002,50.050002,15.875
0,20,0,True,False,False,1.0,0.0,0.0,0.0,0.0,4.2,88.200001,9.525
0,21,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.6,121.799999,9.525
0,22,0,True,False,False,0.0,0.0,1.0,0.0,0.0,21.0,71.399997,24.524999
0,23,0,True,False,False,0.0,0.0,1.0,0.0,0.0,37.799999,71.399998,15.874999
0,24,0,True,False,False,0.0,1.0,0.0,0.0,0.0,50.050002,25.550001,15.875
0,25,0,True,False,False,0.0,0.0,1.0,0.0,0.0,12.599999,29.399999,57.375
0,26,0,True,False,False,1.0,0.0,0.0,0.0,0.0,37.799999,29.399999,9.525
0,27,0,True,False,False,1.0,0.0,0.0,0.0,0.0,4.2,71.399997,9.525
0,28,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.599999,29.399999,9.525
0,29,0,True,False,False,0.0,1.0,0.0,0.0,0.0,42.0,25.55,15.875
0,30,0,True,False,False,0.0,0.0,1.0,0.0,0.0,46.200001,37.799999,46.425002
0,31,0,True,False,False,1.0,0.0,0.0,0.0,0.0,21.0,29.399999,9.525
0,32,0,True,False,False,0.0,0.0,1.0,0.0,0.0,21.0,71.399997,15.875
0,33,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.599999,105.0,9.525
0,34,0,True,False,False,0.0,0.0,1.0,0.0,0.0,21.0,29.4,79.275002
0,35,0,True,False,False,0.0,0.0,1.0,0.0,0.0,37.799999,71.399997,35.475
0,36,0,True,False,False,0.0,0.0,1.0,0.0,0.0,29.4,29.399999,90.224998
0,37,0,True,False,False,0.0,0.0,1.0,0.0,0.0,12.599999,37.799999,101.174999
0,38,0,True,False,False,1.0,0.0,0.0,0.0,0.0,37.799999,113.399998,9.525
0,39,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.599999,4.2,9.525
0,40,0,True,False,False,0.0,0.0,1.0,0.0,0.0,46.200001,46.200001,101.175
0,41,0,True,False,False,0.0,0.0,1.0,0.0,0.0,12.6,46.200001,155.924995
0,42,0,True,False,False,0.0,0.0,1.0,0.0,0.0,46.200001,46.200001,112.125
0,43,0,True,False,False,0.0,0.0,1.0,0.0,0.0,29.399999,29.399999,46.425001
0,44,0,True,False,False,0.0,0.0,1.0,0.0,0.0,21.0,37.799999,15.875
0,45,0,True,False,False,0.0,0.0,1.0,0.0,0.0,37.799999,54.600001,15.874999
0,46,0,True,False,False,0.0,0.0,1.0,0.0,0.0,29.399999,54.6,90.224998
0,47,0,True,False,False,1.0,0.0,0.0,0.0,0.0,37.799999,54.6,9.525
